Cliente,Barrio,Direccion,Notas
Bar 1 ,Centro,18 de julio 916,
Bar 2,Aguada,Nicaragua 1427,
Bar 3,Malvín,Mariscala 1888,
Bar 4,Parque Rodó,21 de Setiembre 2755,
Bar 5,Palermo,Carlos Roxlo 2121,
Bar 6,Cordón,Rodó 1470,
Bar 7,La Blanqueada,Av. Italia 6204,
Bar 8,Prado,Colón 1450,
Bar 9,Jacinto Vera,Av. Garzón 2025,
Bar 10,La Comercial,Av. San Martín 3253,
Bar 11,Buceo,Av. Italia 5775,
Bar 12,Pocitos,21 de Setiembre 2755,
Bar 13,Parque Batlle,Av. Italia 3361,
Bar 14,Reducto,Av. Uruguay 2345,
Bar 15,La Teja,Cno. Castro 3490,
Bar 16,Carrasco,Av. de las Américas 3300,
Bar 17,Colón,Colón 1234,
Bar 18,Capurro,Av. Lezica 4567,
